Sample Name	Protocol REF	Parameter Value[Concentration measurement]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Provider name]	Parameter Value[Provider contact]	Parameter Value[Provider project ID]	Parameter Value[Provider sample ID]	Parameter Value[Provider QC status]	Parameter Value[Requestor contact]	Parameter Value[Requestor project]	Parameter Value[Requestor sample ID]	Parameter Value[Concentration measurement]	Parameter Value[Library source]	Parameter Value[Library strategy]	Parameter Value[Library selection]	Parameter Value[Library layout]	Parameter Value[Library kit]	Parameter Value[Target insert size]	Parameter Value[Wet-lab insert size]	Parameter Value[Barcode kit]	Parameter Value[Barcode kit catalogue ID]	Parameter Value[Barcode name]	Parameter Value[Barcode sequence]	Performer	Date	Extract Name	Characteristics[Folder name]	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Platform]	Parameter Value[Instrument model]	Parameter Value[Base quality encoding]	Parameter Value[Center name]	Parameter Value[Center contact]	Performer	Date	Raw Data File	Library Name
RR057e_00133	Nucleic acid extraction mRNA_seq				RR057e_00133					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00133	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00133
RR057e_00134	Nucleic acid extraction mRNA_seq				RR057e_00134					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00134	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00134
RR057e_00137	Nucleic acid extraction mRNA_seq				RR057e_00137					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00137	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00137
RR057e_00138	Nucleic acid extraction mRNA_seq				RR057e_00138					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00138	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00138
RR057e_00140	Nucleic acid extraction mRNA_seq				RR057e_00140					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00140	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00140
RR057e_00142	Nucleic acid extraction mRNA_seq				RR057e_00142					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00142	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00142
RR057e_00143	Nucleic acid extraction mRNA_seq				RR057e_00143					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00143	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00143
RR057e_00145	Nucleic acid extraction mRNA_seq				RR057e_00145					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00145	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00145
RR057e_00148	Nucleic acid extraction mRNA_seq				RR057e_00148					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00148	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00148
RR057e_00154	Nucleic acid extraction mRNA_seq				RR057e_00154					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00154	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00154
RR057e_00161	Nucleic acid extraction mRNA_seq				RR057e_00161					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00161	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00161
RR057e_00165	Nucleic acid extraction mRNA_seq				RR057e_00165					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00165	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00165
RR057e_00168	Nucleic acid extraction mRNA_seq				RR057e_00168					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00168	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00168
RR057e_00169	Nucleic acid extraction mRNA_seq				RR057e_00169					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00169	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00169
RR057e_00171	Nucleic acid extraction mRNA_seq				RR057e_00171					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00171	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00171
RR057e_00173	Nucleic acid extraction mRNA_seq				RR057e_00173					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00173	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00173
RR057e_00184	Nucleic acid extraction mRNA_seq				RR057e_00184					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00184	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00184
RR057e_00187	Nucleic acid extraction mRNA_seq				RR057e_00187					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00187	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00187
RR057e_00198	Nucleic acid extraction mRNA_seq				RR057e_00198					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00198	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00198
RR057e_00200	Nucleic acid extraction mRNA_seq				RR057e_00200					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00200	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00200
RR057e_00202	Nucleic acid extraction mRNA_seq				RR057e_00202					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00202	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00202
RR057e_00203	Nucleic acid extraction mRNA_seq				RR057e_00203					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00203	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00203
RR057e_00206	Nucleic acid extraction mRNA_seq				RR057e_00206					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00206	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00206
RR057e_00216	Nucleic acid extraction mRNA_seq				RR057e_00216					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00216	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00216
RR057e_00222	Nucleic acid extraction mRNA_seq				RR057e_00222					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00222	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00222
RR057e_00223	Nucleic acid extraction mRNA_seq				RR057e_00223					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00223	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00223
RR057e_00224	Nucleic acid extraction mRNA_seq				RR057e_00224					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00224	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00224
RR057e_00231	Nucleic acid extraction mRNA_seq				RR057e_00231					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00231	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00231
RR057e_00232	Nucleic acid extraction mRNA_seq				RR057e_00232					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00232	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00232
RR057e_00237	Nucleic acid extraction mRNA_seq				RR057e_00237					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00237	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00237
RR057e_00239	Nucleic acid extraction mRNA_seq				RR057e_00239					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00239	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00239
RR057e_00246	Nucleic acid extraction mRNA_seq				RR057e_00246					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00246	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00246
RR057e_00250	Nucleic acid extraction mRNA_seq				RR057e_00250					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00250	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00250
RR057e_00253	Nucleic acid extraction mRNA_seq				RR057e_00253					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00253	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00253
RR057e_00254	Nucleic acid extraction mRNA_seq				RR057e_00254					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00254	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00254
RR057e_00259	Nucleic acid extraction mRNA_seq				RR057e_00259					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00259	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00259
RR057e_00260	Nucleic acid extraction mRNA_seq				RR057e_00260					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00260	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00260
RR057e_00261	Nucleic acid extraction mRNA_seq				RR057e_00261					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00261	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00261
RR057e_00268	Nucleic acid extraction mRNA_seq				RR057e_00268					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00268	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00268
RR057e_00272	Nucleic acid extraction mRNA_seq				RR057e_00272					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00272	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00272
RR057e_00273	Nucleic acid extraction mRNA_seq				RR057e_00273					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00273	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00273
RR057e_00280	Nucleic acid extraction mRNA_seq				RR057e_00280					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00280	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00280
RR057e_00285	Nucleic acid extraction mRNA_seq				RR057e_00285					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00285	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00285
RR057e_00287	Nucleic acid extraction mRNA_seq				RR057e_00287					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00287	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00287
RR057e_00290	Nucleic acid extraction mRNA_seq				RR057e_00290					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00290	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00290
RR057e_00291	Nucleic acid extraction mRNA_seq				RR057e_00291					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00291	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00291
RR057e_00294	Nucleic acid extraction mRNA_seq				RR057e_00294					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00294	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00294
RR057e_00295	Nucleic acid extraction mRNA_seq				RR057e_00295					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00295	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00295
RR057e_00296	Nucleic acid extraction mRNA_seq				RR057e_00296					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00296	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00296
RR057e_00302	Nucleic acid extraction mRNA_seq				RR057e_00302					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00302	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00302
RR057e_00309	Nucleic acid extraction mRNA_seq				RR057e_00309					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00309	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00309
RR057e_00318	Nucleic acid extraction mRNA_seq				RR057e_00318					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00318	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00318
