Sample Name	Protocol REF	Performer	Date	Extract Name	Protocol REF	Performer	Date	Parameter Value[Chip]	Parameter Value[Chip ID]	Parameter Value[Manufacturer]	Labeled Extract Name	Label	Protocol REF	Performer	Date	Hybridization Assay Name	Array Design REF	Protocol REF	Performer	Date	Scan Name	Image File	Array Data File	Array Data Matrix File	Protocol REF	Performer	Date	Normalization Name	Derived Array Data File	Protocol REF	Performer	Date	Data Transformation Name	Derived Array Data Matrix File
TB001M	Nucleic acid extraction			TB001M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB001M		Nucleic acid hybridization			TB001M		Data collection			TB001M				Normalization data transformation					Data transformation				
TB010N	Nucleic acid extraction			TB010N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB010N		Nucleic acid hybridization			TB010N		Data collection			TB010N				Normalization data transformation					Data transformation				
CTRL008N	Nucleic acid extraction			CTRL008N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL008N		Nucleic acid hybridization			CTRL008N		Data collection			CTRL008N				Normalization data transformation					Data transformation				
CTRL002N	Nucleic acid extraction			CTRL002N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL002N		Nucleic acid hybridization			CTRL002N		Data collection			CTRL002N				Normalization data transformation					Data transformation				
TB001N	Nucleic acid extraction			TB001N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB001N		Nucleic acid hybridization			TB001N		Data collection			TB001N				Normalization data transformation					Data transformation				
TB010M	Nucleic acid extraction			TB010M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB010M		Nucleic acid hybridization			TB010M		Data collection			TB010M				Normalization data transformation					Data transformation				
CTRL003M	Nucleic acid extraction			CTRL003M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL003M		Nucleic acid hybridization			CTRL003M		Data collection			CTRL003M				Normalization data transformation					Data transformation				
CTRL010M	Nucleic acid extraction			CTRL010M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL010M		Nucleic acid hybridization			CTRL010M		Data collection			CTRL010M				Normalization data transformation					Data transformation				
TB011M	Nucleic acid extraction			TB011M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB011M		Nucleic acid hybridization			TB011M		Data collection			TB011M				Normalization data transformation					Data transformation				
TB015M	Nucleic acid extraction			TB015M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB015M		Nucleic acid hybridization			TB015M		Data collection			TB015M				Normalization data transformation					Data transformation				
CTRL003N	Nucleic acid extraction			CTRL003N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL003N		Nucleic acid hybridization			CTRL003N		Data collection			CTRL003N				Normalization data transformation					Data transformation				
CTRL010N	Nucleic acid extraction			CTRL010N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL010N		Nucleic acid hybridization			CTRL010N		Data collection			CTRL010N				Normalization data transformation					Data transformation				
TB011N	Nucleic acid extraction			TB011N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB011N		Nucleic acid hybridization			TB011N		Data collection			TB011N				Normalization data transformation					Data transformation				
TB015N	Nucleic acid extraction			TB015N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB015N		Nucleic acid hybridization			TB015N		Data collection			TB015N				Normalization data transformation					Data transformation				
CTRL009N	Nucleic acid extraction			CTRL009N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL009N		Nucleic acid hybridization			CTRL009N		Data collection			CTRL009N				Normalization data transformation					Data transformation				
CTRL012N	Nucleic acid extraction			CTRL012N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL012N		Nucleic acid hybridization			CTRL012N		Data collection			CTRL012N				Normalization data transformation					Data transformation				
TB007N	Nucleic acid extraction			TB007N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB007N		Nucleic acid hybridization			TB007N		Data collection			TB007N				Normalization data transformation					Data transformation				
TB005N	Nucleic acid extraction			TB005N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB005N		Nucleic acid hybridization			TB005N		Data collection			TB005N				Normalization data transformation					Data transformation				
CTRL009M	Nucleic acid extraction			CTRL009M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL009M		Nucleic acid hybridization			CTRL009M		Data collection			CTRL009M				Normalization data transformation					Data transformation				
CTRL012M	Nucleic acid extraction			CTRL012M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL012M		Nucleic acid hybridization			CTRL012M		Data collection			CTRL012M				Normalization data transformation					Data transformation				
TB007M	Nucleic acid extraction			TB007M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB007M		Nucleic acid hybridization			TB007M		Data collection			TB007M				Normalization data transformation					Data transformation				
TB005M	Nucleic acid extraction			TB005M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB005M		Nucleic acid hybridization			TB005M		Data collection			TB005M				Normalization data transformation					Data transformation				
